Damp soil
Peristaltic motion
Burrow entrance
Saddle clitellum
Mucus coating
Cylindrical body
Segmented annuli
Dorsal vessel
Pinkish band
Moist sheen
Tapered anterior
Prostomium lobe
Minute setae
Pale ventrum
Soil castings
Leaf litter
Blunt posterior
Reddish-brown dorsum
Banded radioles
Tan-brown tube
Funnel-shaped
Dense clumps
Tube aperture
Sand-encrusted
Central gap
Dark tips
Mud-sheathed
Body concealed
Two semicircles
Leathery tube
Wharf pilings
No operculum
Vertical tube
Brown-white bands
Feather crown
Fine pinnules
Banded radioles
Red-white bands
Pink blush
Rock substrate
Retracted crown
Colony clusters
Irregular coils
Longitudinal ridges
Flared aperture
Piling encruster
Calcareous tube
Growth rings
Chalky white
Translucent tips
Marginal spines
Stout peduncle
Opercular disc
Feather crown
Banded radioles
Barnacle zone
Circular aperture
Opercular spines
Cup operculum
Orange radioles
Dorsal keel
Encrusting mats
Tubular ridges
Sealed tube
Clustered tubes
Calcareous tube
Chalky white
Feather crown
Intertidal rock
Wave-swept
Algal crusts
Recurved row
Brown mottling
Wall crevices
Dark chelicerae
Sheet web
Annulated legs
Eight eyes
Clubbed palps
Funnel retreat
Hairy legs
Median band
Basement habitats
Velvety cuticle
Large legspan
Radiating striae
Tibial spines
Long spinnerets
Abdominal chevrons
Elongate carapace
Long legs
Velvety abdomen
Robust chelicerae
Redwood duff
Clawed tarsi
Open entrance
Circular rim
Pebble studded
Prominent spinnerets
Silk chimney
Leaf litter
Orthognathous fangs
Moss coated
Silk lined
Dark brown
Soil turret
Tibial spines
Stout legs
Vertical burrow
Glossy carapace
Stream bank
Tapered abdomen
Serrated edges
Low-hung web
Bristly legs
Dark margins
Vertical orb
Reed stems
Pale lanceolate
Head-down posture
Oak-leaf folium
Leg spines
Ringed legs
Median stripe
Glossy carapace
Silvery hairs
Ventral dark
White speckles
Grass tussocks
Compact body
Black edging
No stabilimentum
Scalloped outline
Ground-level web
Ringed legs
Dark annuli
Pale margins
Spiny legs
Mottled brown
Small size
Dense setae
White folium
Oval abdomen
Leaf-shaped folium
Sandy ochre
Glossy carapace
Lateral patches
Domed abdomen
Grassland habitat
Robust chelicerae
Granular texture
Orange legs
Eight eyes
Lateral orange
Clubbed palps
Pale carapace
Mossy camouflage
Lichen green
Warty dorsum
Dark banding
Forest understory
White mottling
Round abdomen
Velvety hairs
Leaf retreat
Small spinnerets
Giant orbweb
Overhanging abdomen
Spined legs
Bulbous abdomen
Mottled dorsum
Garden shrubs
Leg spines
Variable morphs
Bristly legs
Dewy web
Central hub
Leaflike folium
Orb web
White diadem
Head-down
Silk retreat
Cross blotches
Sticky spiral
Orange-brown
Banded legs
Glossy carapace
Signal thread
Radiating spokes
Dorsal hump
Spiny legs
Head-down posture
Eight eyes
Brown cephalothorax
Orb web
Woodland edge
Pumpkin orange
Marbled abdomen
Black mottling
Radial spokes
Ventral spots
Dew-beaded threads
Leaf retreat
White folium
Rounded abdomen
Sticky spiral
Hairy carapace
Banded legs
Annulated legs
Spiny setae
Dark carapace
Short legs
Green morph
Round silhouette
Heather habitat
Four spots
Wet meadows
Square array
Low orb-web
Grassland webs
Yellow morph
Leaf retreat
Silky sheen
Globose abdomen
Brown morph
Hairy carapace
Banded legs
Reddish morph
Mottled dorsum
White dorsal spots
Spiny setae
Bulbous abdomen
Shrub habitat
Dew-beaded web
Pale ventral spots
Short carapace
Orb web
Annulated segments
Speckled pattern
Pumpkin orange
Dark ventrum
Radial spokes
Velvety hairs
Olive green
Leaf retreat
Smooth matte
Sticky spiral
Tan morph
Banded legs
russet carapace
shrub-level
fine setae
six spots
woodland edge
small-bodied
glossy abdomen
annulated legs
translucent legs
black speckles
swollen palps
small orb
posterior spots
central hub
rounded abdomen
leaf underside
no red patch
leaf-green
Garden shrubs
Silvery carapace
Cross stabilimentum
Spiny legs
Coastal vegetation
Zigzag silk
Central hub
X-posture
Yellow abdomen
Black banding
Leg pairing
Sunlit gaps
Tiny males
Ventral banding
Vertical orb
Folium pattern
Ovoid abdomen
White bands
Annulated legs
Radiating spokes
radiating spokes
spiny legs
orb web
orange patches
white setae
banded legs
white silk
argent sheen
dark ventrum
X posture
zigzag stabilimentum
central hub
oval abdomen
leg pairing
sunlit shrubs
silver abdomen
silvery carapace
lateral stripes
Garden shrubs
Silvery carapace
Yellow patches
Tall grasses
Central hub
Papery egg sac
Paired legs
Teardrop sac
Yellow-black
Head down
Shoulder humps
Zigzag stabilimentum
X posture
Large female
Vertical orb
Sticky spiral
Glossy black
Tiny male
Banded legs
Radiating spokes
Oval abdomen
Black bands
Vertical orb
Zigzag silk
Central hub
Grassland shrubs
Spiny legs
Cross posture
Ventral chevrons
X stabilimentum
White setae
Metallic sheen
Silver carapace
Paired legs
Sunlit exposure
Leg annulations
Yellow bands
Radiating spokes
Bulbous abdomen
Meadow habitat
Pear-shaped sac
Ringed legs
Spiny legs
Striped abdomen
Papery egg sac
Orb web
Black underside
White margins
Leg pairing
Zigzag stabilimentum
Cruciform pose
Tall grass
Silvery cephalothorax
Hairy carapace
Tiny male
Yellow-black stripes
Vertical web
Radiating spokes
paired legs
pointed rear
stabilimentum X
scalloped margins
vertical orb
central hub
shrub webs
bristly legs
yellow bands
black chevrons
head-down
white zigzag
annulated joints
oval abdomen
X posture
white patches
silver carapace
silvery setae
banded legs
dark zigzags
sunlit edges
dry grassland
X stabilimentum
lobed abdomen
cruciform posture
silvery carapace
low vegetation
silvery dorsum
vertical orb
head-down rest
central hub
shrub webs
spiny tibiae
sawtoothed margins
annulated tarsi
yellow spots
white setae
banded legs
black venter
Garden habitat
Elongate abdomen
Silvery carapace
Leg spines
Dewy silk
Tall grasses
Vertical stabilimentum
Central hub
Median stripe
Orb web
Head-down
Glossy dorsum
Tapered posterior
Silvery setae
X posture
Longitudinal bands
Shrub anchors
